,frequency,fouriercoef
2194,5.265599974346159,(-1.0107048514867545+0.4604015371591643j)
2195,5.267999993324279,(-0.8800237620755818+0.478749742083167j)
2196,5.2704000123023995,(-0.7451025679923795+0.49890375465076886j)
2197,5.27279997167587,(-0.6104830550827698+0.5197377913145118j)
2198,5.27519999065399,(-0.48098356017175803+0.5396389617941146j)
2199,5.277600009632109,(-0.3615737799191514+0.5565030957873844j)
2200,5.28000002861023,(-0.2571654948125168+0.5677955143346587j)
2201,5.2823999879837,(-0.1724459166828396+0.5706058326456436j)
2202,5.284800006961819,(-0.11169241717585088+0.5617385296260018j)
2203,5.287200025939939,(-0.07856875649770956+0.5378417214961928j)
2204,5.289599985313419,(-0.07597989727178778+0.49553478470795653j)
2205,5.29200000429153,(-0.10588714405628785+0.4315891535389582j)
2206,5.29440002326965,(-0.16921851285181688+0.34309340140170974j)
2207,5.29679998264313,(-0.2657999310782948+0.22763758387929656j)
2208,5.29920000162125,(-0.39428972874355495+0.08351962873564034j)
2209,5.301600020599369,(-0.55221335487904-0.09007952307000622j)
2210,5.30399997997284,(-0.7359852151928123-0.29287850135638394j)
2211,5.30639999895096,(-0.9410690725373243-0.5233823669466489j)
2212,5.308800017929079,(-1.1620688543451294-0.7786694830554168j)
2213,5.31119997730255,(-1.392957788416922-1.0543021718653485j)
2214,5.3135999962806695,(-1.627297291967185-1.34420814603547j)
2215,5.31600001525879,(-1.8584623491418846-1.640570539828687j)
2216,5.31839997463226,(-2.0799317803998747-1.9337759953195963j)
2217,5.32079999361038,(-2.2855374176075784-2.2123608135397674j)
2218,5.3232000125885,(-2.4696779941267053-2.462916172550841j)
2219,5.32559997196198,(-2.627584389035931-2.6701651470489267j)
2220,5.327999990940089,(-2.7553923026621447-2.816891109997929j)
2221,5.330400009918209,(-2.8502455306454415-2.884061233357208j)
2222,5.3328000288963295,(-2.910208783683366-2.8509735230787676j)
2223,5.33519998826981,(-2.9341224390868277-2.6957256710786694j)
2224,5.33760000724792,(-2.92124863814702-2.3958483814364655j)
2225,5.34000002622604,(-2.8707971263169085-1.9294864410563335j)
2226,5.342399985599519,(-2.781364850450146-1.2771500301055365j)
2227,5.34480000457764,(-2.650458583928611-0.4244242425874649j)
2228,5.34720002355576,(-2.4741959831859717+0.6347187971732478j)
2229,5.349599982929229,(-2.2476670583251988+1.8937517614010897j)
2230,5.352000001907349,(-1.9661186783835092+3.3294662048526744j)
2231,5.354400020885469,(-1.6270667621262476+4.8989408996008335j)
2232,5.356799980258939,(-1.2329713354288572+6.538914463731062j)
2233,5.35919999923706,(-0.7934697339777088+8.168665934199158j)
2234,5.36160001821518,(-0.32603964871604063+9.696206305881518j)
2235,5.36399997758865,(0.14579870009993812+11.02684920323249j)
2236,5.366399996566769,(0.5963476288449101+12.071374007843554j)
2237,5.36880001554489,(1.0024191711405592+12.752204006321373j)
2238,5.37119997491837,(1.3470726855395583+13.006535899857514j)
2239,5.373599993896479,(1.6213675237486527+12.787592624801468j)
2240,5.3760000128745995,(1.8238175695817418+12.064934786956842j)
2241,5.378399972248079,(1.9584635225326252+10.825633434021073j)
2242,5.3807999912261995,(2.0326978814273104+9.076559511311519j)
2243,5.38320001020432,(2.0561616869499844+6.847549811623888j)
2244,5.385600029182429,(2.041454503134709+4.193480087763193j)
2245,5.38799998855591,(2.006514637142068+1.1936207337884073j)
2246,5.390400007534029,(1.9774002483014712-2.0535992027244605j)
2247,5.39280002651215,(1.989579099465793-5.440209254674047j)
2248,5.39519998588562,(2.0862806298194485-8.860175987220014j)
2249,5.397600004863739,(2.313931253619849-12.219686988370022j)
2250,5.4000000238418595,(2.716076360215766-15.44332183225799j)
2251,5.402399999999999,0j
2252,5.4048,0j
2253,5.4072,0j
2254,5.409599999999999,0j
2255,5.412,0j
2256,5.414399999999999,0j
2257,5.416799999999999,0j
2258,5.419199999999999,0j
2259,5.4216,0j
2260,5.4239999999999995,0j
2261,5.426399999999999,0j
2262,5.4288,0j
2263,5.431199999999999,0j
2264,5.433599999999999,0j
2265,5.436,0j
2266,5.4384,0j
2267,5.440799999999999,0j
2268,5.443199999999999,0j
2269,5.4456,0j
2270,5.4479999999999995,0j
2271,5.450399999999999,0j
2272,5.4528,0j
2273,5.4552,0j
2274,5.457599999999999,0j
2275,5.46,0j
2276,5.4624,0j
2277,5.464799999999999,0j
2278,5.467199999999999,0j
2279,5.4696,0j
2280,5.4719999999999995,0j
2281,5.474399999999999,0j
2282,5.4768,0j
2283,5.479199999999999,0j
2284,5.481599999999999,0j
2285,5.484,0j
2286,5.4864,0j
2287,5.4887999999999995,0j
2288,5.491199999999999,0j
2289,5.4936,0j
2290,5.496,0j
2291,5.498399999999999,0j
2292,5.5008,0j
2293,5.5032,0j
2294,5.505599999999999,0j
2295,5.507999999999999,0j
2296,5.5104,0j
2297,5.5127999999999995,0j
2298,5.515199999999999,0j
2299,5.5176,0j
2300,5.52,0j
2301,5.522399999999999,0j
2302,5.5248,0j
2303,5.5272,0j
2304,5.529599999999999,0j
2305,5.531999999999999,0j
2306,5.5344,0j
2307,5.5367999999999995,0j
2308,5.539199999999999,0j
2309,5.5416,0j
2310,5.543999999999999,0j
2311,5.546399999999999,0j
2312,5.5488,0j
2313,5.5512,0j
2314,5.553599999999999,0j
2315,5.555999999999999,0j
2316,5.5584,0j
2317,5.5607999999999995,0j
2318,5.563199999999999,0j
2319,5.5656,0j
2320,5.568,0j
2321,5.570399999999999,0j
2322,5.5728,0j
2323,5.5752,0j
2324,5.5775999999999994,0j
2325,5.579999999999999,0j
2326,5.5824,0j
2327,5.5847999999999995,0j
2328,5.587199999999999,0j
2329,5.5896,0j
2330,5.592,0j
2331,5.594399999999999,0j
2332,5.596799999999999,0j
2333,5.5992,0j
2334,5.6015999999999995,0j
2335,5.603999999999999,0j
2336,5.6064,0j
2337,5.608799999999999,0j
2338,5.611199999999999,0j
2339,5.6136,0j
2340,5.616,0j
2341,5.618399999999999,0j
2342,5.620799999999999,0j
2343,5.6232,0j
2344,5.6255999999999995,0j
2345,5.627999999999999,0j
2346,5.6304,0j
2347,5.6328,0j
2348,5.635199999999999,0j
2349,5.6376,0j
2350,5.64,0j
2351,5.642399999999999,0j
2352,5.644799999999999,0j
2353,5.6472,0j
2354,5.6495999999999995,0j
2355,5.651999999999999,0j
2356,5.6544,0j
2357,5.656799999999999,0j
2358,5.659199999999999,0j
2359,5.6616,0j
2360,5.664,0j
2361,5.666399999999999,0j
2362,5.668799999999999,0j
2363,5.6712,0j
2364,5.6735999999999995,0j
2365,5.675999999999999,0j
2366,5.6784,0j
2367,5.6808,0j
2368,5.683199999999999,0j
2369,5.685599999999999,0j
2370,5.688,0j
2371,5.6903999999999995,0j
2372,5.692799999999999,0j
2373,5.6952,0j
2374,5.697599999999999,0j
2375,5.699999999999999,0j
2376,5.7024,0j
2377,5.7048,0j
2378,5.707199999999999,0j
2379,5.709599999999999,0j
2380,5.712,0j
2381,5.7143999999999995,0j
2382,5.716799999999999,0j
2383,5.7192,0j
2384,5.721599999999999,0j
2385,5.723999999999999,0j
2386,5.7264,0j
2387,5.7288,0j
2388,5.731199999999999,0j
2389,5.733599999999999,0j
2390,5.736,0j
2391,5.7383999999999995,0j
2392,5.740799999999999,0j
2393,5.7432,0j
2394,5.7456,0j
2395,5.747999999999999,0j
2396,5.7504,0j
2397,5.7528,0j
2398,5.755199999999999,0j
2399,5.757599999999999,0j
2400,5.76,0j
2401,5.7623999999999995,0j
2402,5.764799999999999,0j
2403,5.7672,0j
2404,5.7696,0j
2405,5.771999999999999,0j
2406,5.7744,0j
2407,5.7768,0j
2408,5.7791999999999994,0j
2409,5.781599999999999,0j
2410,5.784,0j
2411,5.786399999999999,0j
2412,5.788799999999999,0j
2413,5.7912,0j
2414,5.7936,0j
2415,5.795999999999999,0j
2416,5.798399999999999,0j
2417,5.8008,0j
2418,5.8031999999999995,0j
2419,5.805599999999999,0j
2420,5.808,0j
2421,5.8104,0j
2422,5.812799999999999,0j
2423,5.8152,0j
2424,5.8176,0j
2425,5.819999999999999,0j
2426,5.822399999999999,0j
2427,5.8248,0j
2428,5.8271999999999995,0j
2429,5.829599999999999,0j
2430,5.832,0j
2431,5.8344,0j
2432,5.836799999999999,0j
2433,5.8392,0j
2434,5.8416,0j
2435,5.843999999999999,0j
2436,5.846399999999999,0j
2437,5.8488,0j
2438,5.8511999999999995,0j
2439,5.853599999999999,0j
2440,5.856,0j
2441,5.8584,0j
2442,5.860799999999999,0j
2443,5.8632,0j
2444,5.8656,0j
2445,5.867999999999999,0j
2446,5.870399999999999,0j
2447,5.8728,0j
2448,5.875199999999999,0j
2449,5.877599999999999,0j
2450,5.88,0j
2451,5.8824,0j
2452,5.884799999999999,0j
2453,5.887199999999999,0j
2454,5.8896,0j
2455,5.8919999999999995,0j
2456,5.894399999999999,0j
2457,5.8968,0j
2458,5.899199999999999,0j
2459,5.901599999999999,0j
2460,5.904,0j
2461,5.9064,0j
2462,5.908799999999999,0j
2463,5.911199999999999,0j
2464,5.9136,0j
2465,5.9159999999999995,0j
2466,5.918399999999999,0j
2467,5.9208,0j
2468,5.9232,0j
2469,5.925599999999999,0j
2470,5.928,0j
2471,5.9304,0j
2472,5.932799999999999,0j
2473,5.935199999999999,0j
2474,5.9376,0j
2475,5.9399999999999995,0j
2476,5.942399999999999,0j
2477,5.9448,0j
2478,5.9472,0j
2479,5.949599999999999,0j
2480,5.952,0j
2481,5.9544,0j
2482,5.956799999999999,0j
2483,5.959199999999999,0j
2484,5.9616,0j
2485,5.963999999999999,0j
2486,5.966399999999999,0j
2487,5.9688,0j
2488,5.9712,0j
2489,5.973599999999999,0j
2490,5.975999999999999,0j
2491,5.9784,0j
2492,5.9807999999999995,0j
2493,5.983199999999999,0j
2494,5.9856,0j
2495,5.987999999999999,0j
2496,5.990399999999999,0j
2497,5.9928,0j
2498,5.9952,0j
2499,5.997599999999999,0j
